Order_ID,Order_Date,Customer_ID,Customer_Type,Customer_Since,Region,Acquisition_Channel,Campaign_Name,Impressions,Clicks,Adds_To_Cart,Ad_Spend,Product_Category,Product_Name,Units_Sold,Unit_Price,Revenue,Stock_Level,Reorder_Point,Delivery_Time_Days,Delivery_Status,Return_Flag,Return_Reason,Shipping_Cost,COGS,Profit,Margin %,WeightKg,Country,Adjusted_Delivery_Time_Days
O1002406,05/06/2024,C101053,Returning,11/02/2024,Domestic,Organic,ORG_Jun_Community,0,0,0,0,Static Bar,Adjustable Static Bar,1,143.44,143.44,58,18,1,On-time,No,,7.76,93,42.68,0.30,8.00,Germany,0.50
O1000562,10/02/2024,C101569,Returning,02/08/2024,Non-EU,TikTok,TT_Feb_Creators,56,1,1,14.1,Bandages,Wrist Wraps,2,18,36,518,90,5,On-time,No,,12.76,12,11.24,0.31,0.20,USA,2.50
O1002969,06/07/2024,C100834,Returning,13/07/2024,Domestic,TikTok,TT_Jul_Creators,56,1,2,14.1,Parallettes,Wooden Parallettes,1,65.97,65.97,115,45,1,On-time,No,,6.88,30,29.09,0.44,2.20,Germany,0.50
O1004295,28/09/2024,C101254,Returning,16/11/2024,EU,Google,GG_Sep_Brand,50,1,1,25.85,Clothing,Performance T-Shirt,2,30.71,61.42,85,120,2,On-time,No,,6.93,22,32.49,0.53,0.30,Spain,1.00
O1001499,13/04/2024,C100954,Returning,15/12/2024,Domestic,Organic,ORG_Apr_Blog,0,0,0,0,Pull Up Bars,Doorway Pull-Up Bar,1,97.56,97.56,131,30,1,On-time,No,,7.06,50,40.5,0.42,4.00,Germany,0.50
O1003423,02/08/2024,C101971,Returning,16/08/2024,Domestic,Organic,ORG_Aug_Blog,0,0,0,0,Resistance Bands,Set of 5 Resistance Bands,2,47.44,94.88,146,75,1,On-time,No,,5.83,26,63.05,0.66,0.90,Germany,0.50
O1000080,06/01/2024,C100067,Returning,05/11/2024,Domestic,Google,GG_Jan_Shopping,100,2,1,51.7,Workout Accessories,Athlete Backpack,1,35.6,35.6,441,67,3,On-time,No,,6.96,19,9.64,0.27,0.90,Germany,1.50
O1001361,04/04/2024,C100759,New,21/06/2024,Domestic,Google,GG_Apr_Search,50,1,1,25.85,Pull Up Bars,Outdoor Pull-Up Bar,1,154.99,154.99,137,30,2,On-time,No,,8.53,78,68.46,0.44,7.00,Germany,1.00
O1003631,16/08/2024,C100863,Returning,16/02/2024,Domestic,Instagram,IG_Aug_Giveaway,83,1,2,21.15,Dip Bars,Steel Dip Bars,1,71.1,71.1,44,27,2,On-time,No,,8.59,48,14.51,0.20,5.00,Germany,1.00
O1002616,16/06/2024,C101744,Returning,21/01/2024,EU,Instagram,IG_Jun_Reels,83,1,1,21.15,Pull Up Bars,Doorway Pull-Up Bar,1,95.94,95.94,89,30,2,On-time,No,,11.95,50,33.99,0.35,4.00,Spain,1.00
O1004031,11/09/2024,C101221,Returning,13/11/2024,Domestic,Instagram,IG_Sep_AthleteDrop,83,1,1,21.15,Dip Belt,Weighted Dip Belt,1,39.12,39.12,40,37,2,On-time,No,,5.63,19,14.49,0.37,0.80,Germany,1.00
O1001303,01/04/2024,C100776,New,23/08/2024,Domestic,Instagram,IG_Apr_AthleteDrop,83,1,1,21.15,Workout Rings,Wooden Gymnastic Rings,2,38,76,278,60,2,On-time,No,,6.9,32,37.1,0.49,1.10,Germany,1.00
O1005782,17/12/2024,C100325,New,26/05/2024,Domestic,Instagram,IG_Dec_AthleteDrop,83,1,1,21.15,Parallettes,Steel Parallettes,1,81.24,81.24,-1,45,2,On-time,No,,6.82,39,35.42,0.44,3.80,Germany,1.00
O1003835,30/08/2024,C100659,Returning,08/06/2024,Domestic,TikTok,TT_Aug_Creators,111,2,1,28.2,Workout Rings,Wooden Gymnastic Rings,1,49.11,49.11,81,60,2,On-time,No,,6.75,16,26.36,0.54,1.10,Germany,1.00
O1003870,02/09/2024,C101032,Returning,15/11/2024,Domestic,TikTok,TT_Sep_SparkAds,56,1,1,14.1,Equipment Sets,Advanced Athlete Set,1,164.71,164.71,29,22,2,On-time,No,,8.85,107,48.86,0.30,9.00,Germany,1.00
O1002164,22/05/2024,C100056,New,01/04/2024,EU,TikTok,TT_May_Challenge,56,1,1,14.1,Weight Vests,20kg Weighted Vest,1,164.78,164.78,127,36,3,On-time,No,,20.91,98,45.87,0.28,20.00,Italy,1.50
O1001091,17/03/2024,C101061,Returning,27/06/2024,EU,Instagram,IG_Mar_AthleteDrop,83,1,1,21.15,Workout Rings,Wooden Gymnastic Rings,1,32.83,32.83,299,60,4,On-time,No,,8.84,16,7.99,0.24,1.10,Spain,2.00
O1004809,27/10/2024,C101514,Returning,23/08/2024,EU,Google,GG_Oct_Brand,50,1,1,25.85,Workout Accessories,Athlete Backpack,1,48.63,48.63,5,67,4,On-time,No,,7.89,19,21.74,0.45,0.90,Italy,2.00
O1004060,13/09/2024,C101238,Returning,14/11/2024,Non-EU,Instagram,IG_Sep_Reels,83,1,1,21.15,Workout Accessories,Chalk Block,1,13.68,13.68,70,67,6,On-time,No,,12.45,4,-2.77,-0.20,0.30,Australia,3.00
O1004938,04/11/2024,C100077,Returning,02/08/2024,Domestic,Organic,ORG_Nov_Blog,0,0,0,0,Clothing,Performance T-Shirt,1,34.86,34.86,-1,120,2,On-time,No,,4.37,11,19.49,0.56,0.30,Germany,1.00
O1005430,30/11/2024,C100363,New,14/10/2024,Domestic,Instagram,IG_Nov_Giveaway,167,2,2,42.3,Weight Vests,20kg Weighted Vest,1,155.1,155.1,-1,36,2,On-time,No,,12.31,98,44.79,0.29,20.00,Germany,1.00
O1005965,26/12/2024,C101259,Returning,23/11/2024,Domestic,Organic,ORG_Dec_Community,0,0,0,0,Workout Accessories,Chalk Block,1,15.35,15.35,-1,67,3,On-time,No,,4.29,4,7.06,0.46,0.30,Germany,1.50
O1001880,07/05/2024,C101671,Returning,12/01/2024,Domestic,Instagram,IG_May_Reels,167,2,1,42.3,Parallettes,Steel Parallettes,1,93.08,93.08,174,45,1,On-time,No,,6.49,39,47.59,0.51,3.80,Germany,0.50
O1001540,16/04/2024,C100949,Returning,21/04/2024,EU,Instagram,IG_Apr_AthleteDrop,167,2,1,42.3,Equipment Sets,Advanced Athlete Set,1,166.17,166.17,97,22,2,On-time,No,,14.49,107,44.68,0.27,9.00,Netherlands,1.00
O1005296,23/11/2024,C101762,New,27/01/2024,Domestic,Organic,ORG_Nov_Direct,0,0,0,0,Weight Vests,20kg Weighted Vest,1,143.61,143.61,-1,36,1,On-time,No,,12.84,98,32.77,0.23,20.00,Germany,0.50
O1005821,19/12/2024,C101626,Returning,25/02/2024,Non-EU,TikTok,TT_Dec_SparkAds,56,1,2,14.1,Equipment Sets,Advanced Athlete Set,1,204.44,204.44,-1,22,5,On-time,No,,18.1,107,79.34,0.39,9.00,Norway,2.50
O1005406,29/11/2024,C100126,Returning,10/05/2024,EU,Google,GG_Nov_Brand,50,1,1,25.85,Pull Up Bars,Doorway Pull-Up Bar,1,76.62,76.62,-1,30,3,On-time,No,,9.69,50,16.93,0.22,4.00,Netherlands,1.50
O1004308,28/09/2024,C100276,Returning,31/05/2024,Domestic,TikTok,TT_Sep_Challenge,56,1,1,14.1,Equipment Sets,Advanced Athlete Set,1,153.78,153.78,16,22,2,On-time,No,,8.76,107,38.02,0.25,9.00,Germany,1.00
O1000320,24/01/2024,C101722,New,19/03/2024,Domestic,Instagram,IG_Jan_AthleteDrop,83,1,1,21.15,Dip Bars,Steel Dip Bars,3,95.21,285.63,163,27,3,On-time,No,,7.92,144,133.71,0.47,5.00,Germany,1.50
O1002459,07/06/2024,C101047,Returning,04/12/2024,Non-EU,Instagram,IG_Jun_Giveaway,250,3,1,63.45,Equipment Sets,Beginner Home Workout Set,1,154.46,154.46,71,22,10,Late,No,,19.57,81,53.89,0.35,6.00,Norway,5.00
O1001439,09/04/2024,C101953,Returning,02/01/2024,Non-EU,Organic,ORG_Apr_Direct,0,0,0,0,Weight Vests,10kg Weighted Vest,2,114.25,228.5,160,36,5,On-time,No,,24.67,148,55.83,0.24,10.00,UK,2.50
O1000882,04/03/2024,C101870,Returning,06/05/2024,Domestic,TikTok,TT_Mar_Challenge,56,1,1,14.1,Parallettes,Steel Parallettes,1,70.46,70.46,237,45,1,On-time,No,,7.61,39,23.85,0.34,3.80,Germany,0.50
O1004967,06/11/2024,C100325,Returning,26/05/2024,Non-EU,Instagram,IG_Nov_AthleteDrop,83,1,1,21.15,Weight Vests,20kg Weighted Vest,1,153.31,153.31,-1,36,7,On-time,No,,27.27,98,28.04,0.18,20.00,Australia,3.50
O1002878,30/06/2024,C100445,Returning,27/02/2024,Non-EU,TikTok,TT_Jun_SparkAds,56,1,2,14.1,Equipment Sets,Beginner Home Workout Set,3,165.85,497.55,58,22,7,On-time,No,,18.93,243,235.62,0.47,6.00,Norway,3.50
O1003347,28/07/2024,C101716,Returning,07/09/2024,Domestic,Instagram,IG_Jul_Reels,83,1,1,21.15,Equipment Sets,Beginner Home Workout Set,2,161.46,322.92,45,22,1,On-time,No,,7.74,162,153.18,0.47,6.00,Germany,0.50
O1005363,26/11/2024,C100126,New,10/05/2024,EU,Instagram,IG_Nov_Giveaway,167,2,1,42.3,Workout Rings,Wooden Gymnastic Rings,2,46.45,92.9,-2,60,4,On-time,No,,8.36,32,52.54,0.57,1.10,Netherlands,2.00
O1002437,06/06/2024,C100312,Returning,17/08/2024,Domestic,TikTok,TT_Jun_Challenge,56,1,1,14.1,Bandages,Elbow Support,1,20.33,20.33,289,90,1,On-time,No,,6.41,9,4.92,0.24,0.25,Germany,0.50
O1003605,13/08/2024,C101820,Returning,05/11/2024,Domestic,Instagram,IG_Aug_Reels,167,2,1,42.3,Equipment Sets,Beginner Home Workout Set,1,160.26,160.26,38,22,2,On-time,No,,8.7,81,70.56,0.44,6.00,Germany,1.00
O1005024,09/11/2024,C100827,New,01/07/2024,Domestic,TikTok,TT_Nov_Creators,56,1,1,14.1,Workout Accessories,Chalk Block,1,14.54,14.54,-1,67,1,On-time,No,,5.64,4,4.9,0.34,0.30,Germany,0.50
O1003209,19/07/2024,C100925,Returning,25/05/2024,EU,TikTok,TT_Jul_SparkAds,56,1,1,14.1,Better Grip,Liquid Chalk,1,13.31,13.31,238,105,4,On-time,No,,7.07,4,2.24,0.17,0.35,Austria,2.00
O1002481,09/06/2024,C101291,Returning,22/03/2024,Non-EU,Instagram,IG_Jun_Giveaway,167,2,1,42.3,Equipment Sets,Advanced Athlete Set,2,158.83,317.66,69,22,7,On-time,No,,20.69,214,82.97,0.26,9.00,Australia,3.50
O1001967,12/05/2024,C101496,New,14/08/2024,EU,TikTok,TT_May_SparkAds,111,2,1,28.2,Weight Vests,10kg Weighted Vest,1,100.89,100.89,135,36,2,On-time,No,,13.82,74,13.07,0.13,10.00,Netherlands,1.00
O1001039,13/03/2024,C100347,New,09/07/2024,Domestic,Instagram,IG_Mar_Reels,167,2,1,42.3,Workout Rings,Wooden Gymnastic Rings,1,44.62,44.62,304,60,3,On-time,No,,6.56,16,22.06,0.49,1.10,Germany,1.50
O1002410,05/06/2024,C100726,Returning,11/08/2024,EU,Instagram,IG_Jun_Giveaway,83,1,1,21.15,Dip Bars,Steel Dip Bars,1,78.36,78.36,87,27,2,On-time,No,,11.82,48,18.54,0.24,5.00,Belgium,1.00
O1004284,27/09/2024,C100988,Returning,12/08/2024,Domestic,Instagram,IG_Sep_Reels,83,1,2,21.15,Clothing,Joggers,1,54.53,54.53,89,120,1,On-time,No,,4.57,21,28.96,0.53,0.60,Germany,0.50
O1004140,18/09/2024,C101776,New,24/01/2024,Domestic,TikTok,TT_Sep_Challenge,56,1,1,14.1,Better Grip,Liquid Chalk,1,16.45,16.45,98,105,2,On-time,No,,6.79,4,5.66,0.34,0.35,Germany,1.00
O1004297,28/09/2024,C100034,New,08/07/2024,EU,Instagram,IG_Sep_Reels,83,1,1,21.15,Clothing,Training Tank,1,29.28,29.28,86,120,5,On-time,No,,8.92,10,10.36,0.35,0.25,Poland,2.50
O1004757,24/10/2024,C101409,New,19/07/2024,Non-EU,Instagram,IG_Oct_Giveaway,83,1,1,21.15,Resistance Bands,Set of 5 Resistance Bands,3,25.11,75.33,9,75,8,On-time,No,,13.63,39,22.7,0.30,0.90,USA,4.00
O1000024,03/01/2024,C100075,Returning,30/10/2024,Domestic,TikTok,TT_Jan_Creators,56,1,1,14.1,Parallettes,Steel Parallettes,1,76.95,76.95,297,45,1,On-time,No,,6.41,39,31.54,0.41,3.80,Germany,0.50
O1000255,19/01/2024,C101691,Returning,14/11/2024,Domestic,Instagram,IG_Jan_Giveaway,167,2,1,42.3,Parallettes,Wooden Parallettes,1,66.81,66.81,281,45,2,On-time,No,,7.24,30,29.57,0.44,2.20,Germany,1.00
O1000502,06/02/2024,C100276,Returning,31/05/2024,Domestic,Google,GG_Feb_Shopping,150,3,1,77.55,Clothing,Joggers,1,71.86,71.86,702,120,1,On-time,Yes,Size,5.69,21,45.17,0.63,0.60,Germany,0.50
O1005976,27/12/2024,C100953,Returning,13/11/2024,Domestic,TikTok,TT_Dec_SparkAds,56,1,1,14.1,Clothing,Joggers,1,57.89,57.89,-1,120,2,On-time,No,,5.18,21,31.71,0.55,0.60,Germany,1.00
O1004505,09/10/2024,C101759,New,30/09/2024,Domestic,Google,GG_Oct_Search,100,2,1,51.7,Clothing,Oversized Hoodie,1,63.37,63.37,57,120,1,On-time,No,,4.62,25,33.75,0.53,0.70,Germany,0.50
O1005713,13/12/2024,C100523,New,29/08/2024,Domestic,Google,GG_Dec_Search,50,1,1,25.85,Bandages,Elbow Support,1,20.5,20.5,-1,90,2,On-time,No,,4.71,9,6.79,0.33,0.25,Germany,1.00
O1003455,04/08/2024,C101373,New,11/07/2024,EU,Google,GG_Aug_Shopping,100,2,1,51.7,Clothing,Training Tank,1,27.36,27.36,230,120,3,On-time,No,,7.99,10,9.37,0.34,0.25,Belgium,1.50
O1005941,25/12/2024,C101963,Returning,09/05/2024,Non-EU,Instagram,IG_Dec_AthleteDrop,167,2,1,42.3,Pull Up Bars,Doorway Pull-Up Bar,2,92,184,-2,30,9,Late,No,,15.29,100,68.71,0.37,4.00,Australia,4.50
O1006068,31/12/2024,C100861,Returning,08/10/2024,Domestic,Instagram,IG_Dec_Giveaway,83,1,1,21.15,Bandages,Wrist Wraps,2,19.4,38.8,-2,90,2,On-time,No,,6.89,12,19.91,0.51,0.20,Germany,1.00
O1000554,10/02/2024,C100911,Returning,29/09/2024,Non-EU,Google,GG_Feb_Brand,50,1,1,25.85,Clothing,Performance T-Shirt,1,36.15,36.15,692,120,7,On-time,No,,12.27,11,12.88,0.36,0.30,Australia,3.50
O1001922,09/05/2024,C101276,New,13/06/2024,Domestic,Instagram,IG_May_Reels,83,1,1,21.15,Bandages,Wrist Wraps,1,20.12,20.12,344,90,1,On-time,No,,5.26,6,8.86,0.44,0.20,Germany,0.50
O1003734,24/08/2024,C101341,New,07/05/2024,EU,TikTok,TT_Aug_Challenge,56,1,2,14.1,Dip Bars,Steel Dip Bars,1,79.06,79.06,40,27,4,On-time,No,,10.46,48,20.6,0.26,5.00,Spain,2.00
O1003672,20/08/2024,C100358,Returning,18/11/2024,EU,Instagram,IG_Aug_AthleteDrop,167,2,1,42.3,Bandages,Wrist Wraps,1,24.42,24.42,141,90,5,On-time,No,,6.48,6,11.94,0.49,0.20,Sweden,2.50
O1002978,06/07/2024,C100929,New,03/02/2024,Domestic,Google,GG_Jul_Search,50,1,1,25.85,Equipment Sets,Beginner Home Workout Set,2,140.12,280.24,56,22,1,On-time,No,,8.84,162,109.4,0.39,6.00,Germany,0.50
O1002474,08/06/2024,C101300,New,17/09/2024,EU,Organic,ORG_Jun_Blog,0,0,0,0,Clothing,Joggers,1,66.38,66.38,380,120,3,On-time,No,,8.78,21,36.6,0.55,0.60,Netherlands,1.50
O1002645,17/06/2024,C101050,Returning,11/05/2024,EU,Organic,ORG_Jun_Blog,0,0,0,0,Clothing,Training Tank,1,26.54,26.54,356,120,3,On-time,No,,6.62,10,9.92,0.37,0.25,Italy,1.50
O1005195,18/11/2024,C101170,New,04/11/2024,Non-EU,Organic,ORG_Nov_Community,0,0,0,0,Parallettes,Steel Parallettes,1,72.88,72.88,-1,45,8,On-time,No,,16.79,39,17.09,0.23,3.80,USA,4.00
O1001023,13/03/2024,C100852,Returning,20/08/2024,EU,Google,GG_Mar_Search,50,1,1,25.85,Bandages,Wrist Wraps,1,17.64,17.64,456,90,3,On-time,No,,7.6,6,4.04,0.23,0.20,Italy,1.50
O1001544,16/04/2024,C101295,Returning,11/01/2024,Domestic,TikTok,TT_Apr_Creators,56,1,1,14.1,Parallettes,Steel Parallettes,1,72.08,72.08,194,45,2,On-time,No,,6.39,39,26.69,0.37,3.80,Germany,1.00
O1005895,23/12/2024,C101905,New,04/02/2024,Domestic,TikTok,TT_Dec_Challenge,56,1,2,14.1,Clothing,Training Tank,1,35.86,35.86,-1,120,1,On-time,No,,6.55,10,19.31,0.54,0.25,Germany,0.50
O1005926,24/12/2024,C100804,New,03/09/2024,Domestic,Instagram,IG_Dec_Giveaway,167,2,1,42.3,Clothing,Oversized Hoodie,3,57.38,172.14,-3,120,1,On-time,No,,7.19,75,89.95,0.52,0.70,Germany,0.50
O1005267,21/11/2024,C100454,New,29/03/2024,EU,Google,GG_Nov_Search,100,2,1,51.7,Clothing,Joggers,1,59.67,59.67,-1,120,6,Late,No,,8.88,21,29.79,0.50,0.60,Netherlands,3.00
O1005628,09/12/2024,C100943,Returning,16/08/2024,EU,TikTok,TT_Dec_Challenge,56,1,2,14.1,Better Grip,Liquid Chalk,1,17.08,17.08,-1,105,3,On-time,No,,8.88,4,4.2,0.25,0.35,Sweden,1.50
O1002986,07/07/2024,C100632,New,30/06/2024,EU,Instagram,IG_Jul_Giveaway,83,1,1,21.15,Clothing,Training Tank,1,36.78,36.78,304,120,4,On-time,No,,8.37,10,18.41,0.50,0.25,Sweden,2.00
O1004029,11/09/2024,C101891,New,14/10/2024,Domestic,TikTok,TT_Sep_SparkAds,56,1,1,14.1,Equipment Sets,Beginner Home Workout Set,1,126.54,126.54,24,22,2,On-time,No,,9.3,81,36.24,0.29,6.00,Germany,1.00
O1002842,28/06/2024,C101380,New,23/09/2024,Domestic,Instagram,IG_Jun_Giveaway,83,1,1,21.15,Weight Vests,10kg Weighted Vest,1,111.38,111.38,98,36,3,On-time,No,,9.44,74,27.94,0.25,10.00,Germany,1.50
O1004526,10/10/2024,C100772,New,15/09/2024,Domestic,Organic,ORG_Oct_Community,0,0,0,0,Workout Rings,Wooden Gymnastic Rings,1,34.03,34.03,27,60,3,On-time,No,,5.76,16,12.27,0.36,1.10,Germany,1.50
O1001322,02/04/2024,C101670,Returning,17/03/2024,Domestic,Google,GG_Apr_Shopping,50,1,1,25.85,Dip Bars,Steel Dip Bars,2,76.9,153.8,124,27,2,On-time,No,,7.05,96,50.75,0.33,5.00,Germany,1.00
O1000038,04/01/2024,C100746,Returning,23/12/2024,Domestic,Google,GG_Jan_Brand,50,1,1,25.85,Dip Bars,Steel Dip Bars,2,67.18,134.36,176,27,2,On-time,No,,8.4,96,29.96,0.22,5.00,Germany,1.00
O1000229,17/01/2024,C101791,Returning,26/04/2024,EU,TikTok,TT_Jan_SparkAds,56,1,1,14.1,Static Bar,Adjustable Static Bar,1,157.84,157.84,113,18,4,On-time,No,,10.91,93,53.93,0.34,8.00,Netherlands,2.00
O1003962,07/09/2024,C100214,Returning,09/05/2024,Domestic,Organic,ORG_Sep_Direct,0,0,0,0,Equipment Sets,Advanced Athlete Set,1,205.05,205.05,26,22,1,On-time,No,,9.1,107,88.95,0.43,9.00,Germany,0.50
